"Lysia Tries The Quiet Life","151871"
"Take Me Back Home","170411"
"My Three Tyrant Brothers","148853"
"Happily Ever Afterwards","147263"
"The Meaning of You","152020"
"Author of My Own Destiny","147661"
"I Stan the Prince","147822"
"No More Nice Sis","151826"
"Changes of Heart","129535"
"My Love Story with Yamada-kun at Lv999","125052"
"Nina the Starry Bride","122110"
"You're My Cutie","129164"
"It Takes More than a Pretty Face to Fall in Love","132949"
"His Majesty's Proposal","147329"
"Sigrid","154817"
"Don't Hire My Brother, Your Highness!","149008"
"Double the Trouble, Twice as Nice","153739"
"Uchi no Futeki na Gangster","143647"
"Like Wind on a Dry Branch","134707"
"Marry My Husband","151165"
"Peach Sorbet","150382"
"Did My Biceps Turn You on?","116757"
"I Raised a Black Dragon","164730"
"Daifuku-chan to Ouji-sama","133776"
"Excuse Me Dentist, It's Touching Me!","129948"
"Charlotte and Her 5 Disciples","139163"
"Cheeky Brat","67645"
"I Shall Master This Family","147692"
"Race to Steal the Emperor's Heart","159569"
"From Maid to Queen","151594"
"The Beloved Fake Saint","153257"
"Light of My Life","143117"
"Aioi Focus","143802"
"Sono Mimi Sawarasete Kudasai","139346"
"Candy Man","164687"
"Karasugaoka Don't be shy!!","118233"
"Make Me Hate You","154519"
"19 Days","116312"
"Seeing Double","142944"
"Painter of the Night","139429"
"Limited Run","148357"
"Red: My Superhero","132069"
"A Complicated Omega's Second Love","154548"
"June Peach","151827"
"Flirting with The Villain's Dad","139256"
"Aria of the Withered Branch","148284"
"In the Castle: the Dragon's Erotic Education","155626"
"Docchi ni Suru?","55791"
"Yarashikute Ijiwaru.","46974"
"Haisha nante Kirai da!","75643"
"Private Libido","142233"
"The Baengri Clan's Unwanted Granddaughter","155284"
"Firefly Wedding","154679"
"Arima-san wa Omega ni Naritai","143999"
"Taken Captive By Two Former Classmates","154691"
"Party Boy, Do You Understand?","159143"
"A Callboy's Secret","159212"
"Philomel the Fake","155704"
"The Beloved Bashful Villainess","156030"
"Pian Pian","144145"
"Miss Not-So Sidekick","147827"
"Revolutionary Princess Eve","147870"
"I Became the Villain's Mother","145596"
"Tricked into Becoming the Heroine's Stepmother","147332"
"Misadventures in First Love","157089"
"Cherry Picking","155059"
"The Downstairs Resident is Mr. Fudanshi","87613"
"Ore to Osananajimi no XL Jijou","152969"
"Saving My Favorite for Last","145198"
"Furimuite Tsukamaete","156194"
"We're Abhorred by Fate","159121"
"Obedience Hypnosis Threesome Lovesex","156234"
"I Wanna Die Before I'm 30","128361"
"A Hot Wet Job for Three: Adult Toy Tester","129908"
"Uchi wa Futago de Teippai!","91614"
"Sex Friend Ijou, Koibito Miman!","104996"
"Oboreru Triangle","100536"
"My Personal Weatherman","159725"
"Crossing Paths in a Vegetable Garden","133376"
"23-ji no Time Shift","127741"
"Everyday, Love Me More","133358"
"Mibu no Tsugai","166432"
"Suki no Onshoku wa Kikanaide","151357"
"Guiding Light","156800"
"Sacrificed to the Shark Clan","168562"
"This Is Taking Brotherly Love Way Too Far","133892"
"Sokuseki Ad-Lib Lover","154138"
"One Little Wolf Falls in Love","157489"
"Koi no Shikata ga Wakaranai","135065"
"Platinum Blood","146424"
"I'd Rather Sleep with You Than Work","129342"
"A Beast's Love Is Like the Moon","151769"
"I Want To Take Off My Uniform","154184"
"Second Time's the Charm","155827"
"Holesome Romance","157472"
"World's End Blue Bird","161659"
"Lulutier's Fiery Final Days","156679"
"All You Want, Whenever You Want","153504"
"Himitsu no Asa ni wa Kiss no Ame","148840"
"Intellectual Yakuza Who Embraces, Loves and Won't Let Go!","165629"
"Lonely Nights In Bunny Paradise","158072"
"Time for a Kiss, Master","150341"
"I Thought My Time Was Up!","154064"
"Ore no Seito wa Kawaikunai","141850"
"Bokura to Usagi no Koi wa Sensou","104189"
"The Apothecary Diaries","107562"
"Confessions of the Night","157403"
"Ore no Oppai Suki nandesho?","165320"
"Kuzu Seito to Stalker-sensei","111806"
"Hatsujo Playroom","154903"
